pdbcode,resolution,year,pK,comment
2erz,2.20,2005,5.66,(HFS)
2x97,1.85,2010,5.66,(RX4)
3ery,1.95,2008,5.66,(9-mer)
3td4,1.79,2011,5.66,(API)
3zi8,1.50,2013,5.66,(FU4)
4zek,2.09,2015,5.66,(LAH)
5c28,1.56,2015,5.66,(4XV)
5g5z,2.01,2017,5.66,(DQR)
6cjv,1.55,2018,5.66,(G2Y)
6jaw,1.98,2019,5.66,(BBO)
6pi6,1.65,2019,5.66,(OKM)
2h15,1.90,2007,5.67,(B19)
2pqz,1.55,2008,5.67,(G0G)
2qwf,1.90,1998,5.67,(G20)
4ncn,1.87,2014,5.67,(GTP)
5ouh,2.50,2017,5.67,(L0B)
6f28,2.40,2018,5.67,(CG8)
6gon,1.65,2018,5.67,(8PF)
1gnn,2.30,1996,5.68,(U0E)
2c92,1.60,2006,5.68,(TP6)
2cbu,1.85,2006,5.68,(CTS)
2q8z,1.80,2008,5.68,(NUP)
2uyq,1.80,2007,5.68,(SAM)
3oil,1.50,2011,5.68,(VZ5)
4c52,2.05,2014,5.68,(X0D)
4det,2.05,2012,5.68,(KMP)
4l4z,2.30,2013,5.68,(D5X)
4q9y,1.55,2015,5.68,(M3T)
5n18,1.45,2017,5.68,(8HZ)
5o2d,1.60,2017,5.68,(9HH)
6qge,1.16,2019,5.68,(J1E)
6bdy,1.51,2018,5.69,(SFG)
1a99,2.20,1998,5.70,(PUT)
1egh,2.00,2000,5.70,(PGA)
1g98,1.90,2001,5.70,(PA5)
1jsv,1.96,2001,5.70,(U55)
1n1m,2.50,2002,5.70,(A3M)
1pgp,2.50,1995,5.70,(6PG)
2a14,1.70,2005,5.70,(SAH)
2avm,1.10,2006,5.70,(2NC)
2f2h,1.95,2006,5.70,(XTG)
2h3e,2.30,2006,5.70,(6PR)
2i4z,2.25,2007,5.70,(DRH)
2ya6,2.00,2011,5.70,(DAN)
3acx,1.31,2010,5.70,(673)
3c4h,2.10,2008,5.70,(DRL)
3d4y,1.52,2008,5.70,(MVL)
3fhb,2.30,2009,5.70,(GAB)
3kku,1.28,2010,5.70,(B95)
4bs0,1.09,2013,5.70,(6NT)
4f39,1.83,2012,5.70,(KAI)
4j28,1.73,2013,5.70,(EAT)
4l2l,1.65,2014,5.70,(1V6)
4pzv,1.70,2014,5.70,(J1D)
5dlx,1.90,2016,5.70,(5D2)
5lz4,2.07,2016,5.70,(7BW)
5mro,1.80,2017,5.70,(Q9P)
6f9g,2.39,2018,5.70,(PUT)
6hd6,2.30,2018,5.70,(FYH)
6jay,1.50,2019,5.70,(JUK)
6n8x,1.49,2019,5.70,(KFY)
6o5g,1.89,2019,5.70,(LMJ)
2uz9,2.30,2007,5.71,(XAN)
3wvm,.88,2015,5.71,(STE)
6q60,1.55,2019,5.71,(HJH)
2qg0,1.85,2008,5.72,(A94)
2v25,1.49,2007,5.72,(ASP)
3jvr,1.76,2009,5.72,(AGX)
3shc,1.90,2012,5.72,(B01)
4br3,2.20,2013,5.72,(U85)
4dkp,1.80,2012,5.72,(0LL)
4zw6,1.90,2016,5.72,(4SY)
6eyt,2.21,2018,5.72,(UDP)
3bqc,1.50,2008,5.73,(EMO)
3m3z,2.10,2011,5.73,(3F5)
4j44,1.30,2013,5.73,(4-mer)
1o33,1.46,2003,5.74,(801)
1o5e,1.75,2004,5.74,(132)
1qy2,1.75,2004,5.74,(IPZ)
1zdp,1.70,2005,5.74,(TIO)
2pgz,1.76,2007,5.74,(COC)
2pqc,1.60,2008,5.74,(RC1)
3gy2,1.57,2010,5.74,(BRN)
3ivx,1.73,2009,5.74,(FG6)
3pb7,1.40,2011,5.74,(PBD)
3wz7,1.90,2015,5.74,(IXY)
4lps,2.00,2013,5.74,(GDP)
4o2b,2.30,2014,5.74,(LOC)
4tkh,.93,2015,5.74,(MYR)
5cbr,2.00,2015,5.74,(4ZK)
5eis,1.60,2016,5.74,(5OU)
5mwh,1.65,2018,5.74,(UWX)
5om7,1.73,2018,5.74,(DM2)
5ota,2.10,2017,5.74,(AQQ)
5u4b,1.45,2017,5.74,(XOS)
6mh7,1.74,2019,5.74,(JQY)
2ya8,1.75,2011,5.75,(G39)
4mn3,1.54,2014,5.75,(7-mer)
5zdb,1.97,2019,5.75,(AR6)
6e6m,1.55,2019,5.75,(8CB)
6i8t,2.10,2019,5.75,(H7Z)
1p1o,1.60,2003,5.76,(QUS)
2qta,1.85,2007,5.76,(TDP)
4a95,1.55,2012,5.76,(9MT)
4muv,1.25,2014,5.76,(PCG)
4nwc,2.01,2014,5.76,(2QE)
6jav,1.44,2019,5.76,(BC0)
1jmf,2.50,1998,5.77,(UMP)
1ur9,1.80,2004,5.77,(3-mer)
2boj,1.80,2006,5.77,(ARW)
2xp7,2.00,2011,5.77,(4F8)
3k00,1.55,2010,5.77,(MTT)
3rm4,1.90,2011,5.77,(3RM)
4fxq,1.96,2012,5.77,(G9L)
4j45,1.48,2013,5.77,(4-mer)
4q9o,2.20,2014,5.77,(2ZW)
5fsn,1.69,2016,5.77,(6Q3)
5nw7,1.85,2018,5.77,(9C2)
5zym,1.90,2019,5.77,(9M6)
6eij,2.42,2018,5.77,(B5Z)
4l4v,1.90,2013,5.78,(1VY)
1hmt,1.40,1995,5.79,(STE)
2y5h,1.33,2011,5.79,(Y5H)
4q4q,1.41,2014,5.79,(SAQ)
5mo8,1.82,2017,5.79,(C98)
5n31,1.37,2017,5.79,(8LB)
6jan,1.77,2019,5.79,(MAL)
1kpm,1.80,2002,5.80,(VIT)
1ppm,1.70,1993,5.80,(0P1)
2q88,1.90,2008,5.80,(4CS)
4ezx,1.70,2013,5.80,(7-mer)
4g8v,1.70,2012,5.80,(0EY)
4rhx,2.03,2015,5.80,(3QF)
4ymq,2.00,2015,5.80,(ZBD)
4ysl,1.46,2015,5.80,(GSH)
5oei,1.78,2017,5.80,(OOG)
6czf,1.95,2018,5.80,(G4P)
6eog,1.20,2018,5.80,(BKK)
6mnc,2.40,2019,5.80,(J3Z)
1lkl,1.80,1996,5.81,(4-mer)
6ey8,2.16,2018,5.81,(C4T)
6n3w,1.75,2019,5.81,(KBJ)
1hdq,2.30,2001,5.82,(INF)
1kav,2.35,2002,5.82,(FEP)
1ols,1.85,2003,5.82,(TDP)
2nn1,1.65,2007,5.82,(M28)
3b7i,1.75,2007,5.82,(PLU)
3gss,1.90,1997,5.82,(2-mer)
3iue,1.73,2009,5.82,(FG3)
3qqa,2.20,2011,5.82,(TCH)
3qqs,1.97,2012,5.82,(17C)
3wz8,1.45,2015,5.82,(IXV)
4dld,2.00,2012,5.82,(TZG)
4e9u,2.10,2012,5.82,(RWY)
4lj8,2.10,2014,5.82,(ADP)
4p5d,2.11,2014,5.82,(N6P)
4r4o,1.33,2014,5.82,(3HW)
4rqk,1.55,2014,5.82,(R1S)
4z84,1.55,2015,5.82,(NVX)
4zec,2.15,2015,5.82,(C84)
5d2r,1.90,2016,5.82,(56W)
5tb6,1.79,2016,5.82,(77X)
6bs3,2.30,2019,5.82,(ADP)
6ced,1.70,2018,5.82,(EYA)
6ftp,1.80,2018,5.82,(DM2)
6i14,1.73,2019,5.82,(GZN)
4do5,1.51,2012,5.83,(DGJ)
4km2,1.40,2013,5.84,(TOP)
5dw2,1.12,2016,5.84,(5GD)
6bm5,1.50,2018,5.84,(SAM)
1k4g,1.70,2002,5.85,(AIQ)
1o2w,1.38,2003,5.85,(847)
1ogz,2.30,2003,5.85,(EQU)
1q54,1.93,2003,5.85,(BHI)
1qbn,1.80,2000,5.85,(688)
1u1w,1.35,2004,5.85,(3HA)
2pu1,1.80,2007,5.85,(FSG)
2r3t,1.80,2008,5.85,(G4G)
2vmf,2.10,2008,5.85,(MVL)
2z94,1.78,2007,5.85,(TLD)
3e5u,1.83,2008,5.85,(3C4)
3ehy,1.90,2009,5.85,(TBL)
4b6r,2.00,2012,5.85,(3DQ)
4des,1.75,2012,5.85,(57D)
4qdk,1.70,2014,5.85,(SAH)
4rww,1.60,2014,5.85,(2BA)
5egu,2.21,2016,5.85,(5NQ)
5eng,1.30,2016,5.85,(5QN)
5lso,2.22,2016,5.85,(6-mer)
5mme,1.35,2017,5.85,(8Q6)
5ndf,2.30,2017,5.85,(LU2)
5oq8,2.00,2017,5.85,(A0Q)
6d18,1.35,2019,5.85,(GTV)
6pvv,1.65,2019,5.85,(5FA)
4azc,2.09,2013,5.86,(NGW)
4jne,1.96,2013,5.86,(ATP)
4xya,2.05,2015,5.86,(43S)
3tcg,2.00,2011,5.87,(3-mer)
5eh5,1.21,2016,5.87,(XCZ)
5lif,1.31,2016,5.87,(6XO)
5za7,1.70,2018,5.87,(HMX)
6gj8,1.65,2019,5.87,(F0K)
4cfl,1.32,2014,5.88,(8DQ)
4zei,2.30,2015,5.88,(LAO)
6fmc,.90,2018,5.88,(DUE)
1b3l,2.00,1998,5.89,(3-mer)
1e1x,1.85,2001,5.89,(NW1)
1ydk,1.95,2005,5.89,(GTX)
2brm,2.20,2005,5.89,(DFZ)
2tmn,1.60,1989,5.89,(0FA)
3eeb,2.10,2008,5.89,(IHP)
3h1x,1.40,2009,5.89,(IMN)
3qgw,2.10,2011,5.89,(L7A)
3uev,1.90,2011,5.89,(MYR)
4arb,2.25,2012,5.89,(C57)
4de0,1.12,2012,5.89,(0JB)
4wk1,1.98,2014,5.89,(2BA)
5fsy,1.70,2016,5.89,(AR6)
5t8p,2.32,2017,5.89,(774)
6dpx,1.90,2018,5.89,(H7G)
6eq2,1.80,2018,5.89,(BU8)
1v2n,1.80,2004,5.90,(BBA)
2weq,2.20,2009,5.90,(GDM)
3old,2.00,2011,5.90,(6-mer)
5fhn,1.60,2016,5.90,(5XO)
5lvl,1.40,2016,5.90,(537)
6md0,1.95,2019,5.90,(OLA)
1ugx,1.60,2003,5.91,(GAL-MGC)
3ebp,2.00,2009,5.91,(CPB)
4csd,1.35,2014,5.91,(MFU)
5cp5,1.79,2016,5.91,(EB0)
6ey9,2.00,2018,5.91,(C4N)
1a4w,1.80,1998,5.92,(QWE)
1jao,2.40,1996,5.92,(0D3)
1kyv,2.40,2002,5.92,(RBF)
1ndv,2.30,2003,5.92,(FR0)
1o0h,1.20,2003,5.92,(ADP)
1pph,1.90,1994,5.92,(0ZG)
1qf2,2.06,1999,5.92,(TI3)
1qka,1.80,1999,5.92,(3-mer)
1yds,2.20,1997,5.92,(IQS)
1yet,1.90,1998,5.92,(GDM)
2ans,2.50,1999,5.92,(2AN)
2xn3,2.09,2011,5.92,(ID8)
3kgu,1.85,2010,5.92,(GEN)
3neo,2.00,2010,5.92,(G24)
3r4m,1.70,2011,5.92,(WOE)
3zv7,2.26,2012,5.92,(NHG)
4kyh,2.50,2013,5.92,(ZST)
4lkk,2.49,2013,5.92,(2-mer)
4rdn,2.10,2014,5.92,(6MD)
4u0f,2.22,2014,5.92,(3A8)
4y5d,1.20,2015,5.92,(MT6)
5ivc,1.57,2016,5.92,(6E7)
5owl,2.23,2018,5.92,(B0K)
6eux,2.05,2017,5.92,(BYB)
6gw4,2.30,2018,5.92,(CHO)
6mh1,1.60,2019,5.92,(JQP)
6r8w,1.40,2019,5.92,(JVH)
1fv0,1.70,2002,5.93,(9AR)
6ej3,1.94,2018,5.93,(B7T)
1kv1,2.50,2002,5.94,(BMU)
3lmk,2.44,2010,5.94,(GLU)
4mr3,1.68,2013,5.94,(1K0)
4ra1,1.75,2015,5.94,(ALX-BNX)
5y13,1.75,2018,5.94,(8K0)
2weh,2.10,2009,5.95,(FB1)
5a6k,2.10,2015,5.95,(NSG)
6epa,1.82,2018,5.95,(BNQ)
6fz4,1.85,2019,5.95,(EC8)
1b9j,1.80,1999,5.96,(3-mer)
1d6w,2.00,2000,5.96,(00R)
1nl9,2.40,2003,5.96,(989)
1o36,1.70,2003,5.96,(607)
1q8u,1.90,2003,5.96,(H52)
2j79,1.94,2006,5.96,(GTL)
2xht,2.27,2010,5.96,(C0Y)
3wz6,1.40,2015,5.96,(IXZ)
4d4d,1.40,2015,5.96,(MAN-IFM)
4de1,1.26,2012,5.96,(0J6)
4msc,2.47,2014,5.96,(2ZT)
4w9i,2.40,2014,5.96,(3JS)
4zw8,2.00,2016,5.96,(4T2)
5od1,1.34,2018,5.96,(9RQ)
5ovc,1.55,2018,5.96,(7-mer)
5ttw,1.74,2017,5.96,(5-mer)
5umx,1.59,2018,5.96,(RBF)
5vcw,2.25,2017,5.96,(93J)
6d9s,2.11,2019,5.96,(G4P)
6eqp,2.35,2017,5.96,(BUW)
1uwt,1.95,2004,5.97,(GTL)
4fm8,1.90,2012,5.97,(0UQ)
4nkt,1.90,2013,5.97,(2KH)
4tjz,.87,2015,5.97,(DKA)
4yx4,1.01,2016,5.97,(FB2)
1uwu,1.95,2004,5.98,(GOX)
6jb4,1.63,2019,5.98,(MAL)
3e12,1.70,2009,5.99,(KD0)
3huc,1.80,2010,5.99,(G97)
4az5,1.73,2013,5.99,(NGW)
6jbb,1.95,2019,5.99,(SUC)
1a1e,2.20,1998,6.00,(4-mer)
1ado,1.90,1997,6.00,(13P)
1c5s,1.36,2000,6.00,(ESX)
1ceb,2.07,1996,6.00,(AMH)
1d2e,1.94,1999,6.00,(GDP)
1f0t,1.80,2000,6.00,(PR1)
1jq8,2.00,2002,6.00,(5-mer)
1ssq,1.85,2004,6.00,(CYS)
1xk5,2.40,2005,6.00,(TPG)
2bvd,1.60,2005,6.00,(ISX)
2gh9,1.95,2007,6.00,(MLR)
2izl,1.48,1998,6.00,(IMI)
2r43,1.58,2008,6.00,(G3G)
2rcn,2.25,2008,6.00,(GDP)
2vqt,2.10,2008,6.00,(15A)
2wf5,1.30,2009,6.00,(BG6)
3ddg,1.74,2008,6.00,(GB7)
3l4w,2.00,2010,6.00,(MIG)
3nex,1.70,2010,6.00,(G24)
3ucj,1.85,2011,6.00,(AZM)
3uil,2.20,2012,6.00,(DAO)
4bb9,1.47,2013,6.00,(F1P)
4kwg,2.10,2014,6.00,(2AK)
4p3h,1.45,2014,6.00,(25G)
4rr6,1.88,2015,6.00,(A3S)
5f0f,1.76,2016,6.00,(5TD)
5f1r,2.25,2016,6.00,(42O)
5j82,2.17,2017,6.00,(6GV)
5kcb,2.10,2016,6.00,(ET)
5vd1,1.70,2017,6.00,(P48)
6f90,2.40,2018,6.00,(MVL)
6qgf,1.34,2019,6.00,(J0T)
1b5h,1.90,1998,6.01,(3-mer)
1eb2,2.00,2002,6.01,(BPO)
2vl4,1.90,2008,6.01,(MNM)
4b6s,1.90,2012,6.01,(2HN)
5mmg,1.23,2017,6.01,(UT0)
5uez,1.51,2017,6.01,(89G)
3coy,2.03,2008,6.02,(53H)
3f3c,2.10,2008,6.02,(PFF)
3su6,1.10,2012,6.02,(SU3)
3zq9,1.86,2011,6.02,(NOY-BGC)
4og4,1.45,2014,6.02,(2VK)
5er1,2.00,1991,6.02,(0HT)
5oht,1.87,2018,6.02,(9VH)
5yhg,2.03,2018,6.02,(8UX)
1okl,2.10,1997,6.03,(MNS)
1os0,2.10,2003,6.03,(0PQ)
1sh9,2.50,2004,6.03,(RIT)
1t7d,2.47,2004,6.03,(ARY)
2ce9,2.12,2006,6.03,(5-mer)
4f9u,1.80,2012,6.03,(PBD)
4zb8,2.00,2015,6.03,(GDS)
5cso,1.78,2015,6.03,(CTN)
1xbo,2.50,2004,6.04,(IX1)
4km0,1.30,2013,6.04,(CP6)
4nuc,1.40,2014,6.04,(435)
4tkj,.87,2015,6.04,(PLM)
6g3v,1.69,2018,6.04,(FO9)
6hm1,1.54,2019,6.04,(AO3)
6ic2,1.15,2019,6.04,(BBJ)
1eoc,2.25,2000,6.05,(4NC)
3bgb,1.90,2008,6.05,(LJG)
3iss,2.50,2009,6.05,(EPU)
3ouj,2.30,2010,6.05,(AKG)
3pcf,2.15,1998,6.05,(FHB)
4ara,2.50,2012,6.05,(C56)
4kqp,0.95,2013,6.05,(GLN)
4m12,2.15,2014,6.05,(1YZ)
5g2g,1.60,2016,6.05,(EQU)
5n0f,1.69,2017,6.05,(7K2)
6eln,1.60,2018,6.05,(P4A)
1g7q,1.60,2002,6.06,(8-mer)
1kjr,1.55,2005,6.06,(3-mer)
1qb6,1.80,2000,6.06,(623)
2fxs,2.00,2007,6.06,(RDA)
2nnd,1.60,2007,6.06,(PRZ)
3sfg,2.21,2012,6.06,(2TU)
4io3,1.66,2013,6.06,(ASP)
4l50,2.10,2013,6.06,(D8X)
5d3l,1.50,2016,6.06,(57F)
5jhb,2.48,2017,6.06,(6K5)
6ge7,2.30,2018,6.06,(EW8)
1jmg,2.20,1998,6.07,(UMP)
2gst,1.80,1993,6.07,(GPS)
2w5g,1.70,2009,6.07,(ATP)
3b25,1.75,2011,6.07,(B2K)
3c89,1.58,2008,6.07,(5-mer)
3fvl,1.85,2010,6.07,(BHK)
3owj,1.85,2010,6.07,(1EL)
6uh0,1.31,2019,6.07,(PX7)
1nhz,2.30,2003,6.08,(486)
2wc3,2.00,2009,6.08,(AM3)
2wej,1.45,2009,6.08,(FB2)
3bkk,2.17,2008,6.08,(KAF)
3iw5,2.50,2009,6.08,(DF3)
4kp5,1.45,2013,6.08,(E1F)
5h9r,1.58,2016,6.08,(TGZ)
5u0y,1.88,2017,6.08,(7PJ)
6qz5,2.00,2019,6.08,(JLE)
1o2n,1.50,2003,6.09,(762)
1ogx,2.00,2003,6.09,(EQU)
1w9u,1.85,2004,6.09,(5-mer)
3p8z,1.70,2010,6.09,(36A)
5d26,1.82,2016,6.09,(L28)
5e7n,1.21,2016,6.09,(5KR)
5fso,1.67,2017,6.09,(S76)
6dsp,1.37,2019,6.09,(PAV)
6eed,1.50,2018,6.09,(J6A)
6hpw,1.90,2018,6.09,(GKT)
1azm,2.00,1994,6.10,(AZM)
1dzk,1.48,2000,6.10,(PRZ)
1lgt,1.70,2002,6.10,(BP3)
1m2q,1.79,2003,6.10,(MNX)
2e7f,2.20,2007,6.10,(C2F)
2ewb,1.85,2006,6.10,(ZED)
2flr,2.35,2007,6.10,(7NH)
2p7a,2.30,2008,6.10,(43M)
2wed,1.50,1998,6.10,(PP6)
2yay,1.86,2011,6.10,(DUP)
3c8b,1.47,2008,6.10,(5-mer)
3cke,2.40,2008,6.10,(FDF)
3v2n,1.80,2013,6.10,(MYR)
4gah,2.30,2012,6.10,(0ET)
4kxn,1.90,2014,6.10,(6K6)
4kzq,2.25,2013,6.10,(DFL)
4l19,1.66,2014,6.10,(1UA)
4r5t,1.98,2014,6.10,(R5T)
5efh,2.16,2016,6.10,(FKS)
6mlo,1.72,2019,6.10,(ARG)
1g32,1.90,2001,6.11,(R11)
1m2p,2.00,2003,6.11,(HNA)
1o2z,1.65,2003,6.11,(312)
2qnq,2.30,2008,6.11,(QN3)
4kao,2.39,2013,6.11,(KAO)
4m7j,1.95,2014,6.11,(3-mer)
4tqn,1.70,2015,6.11,(UL4)
5f1x,1.90,2016,6.11,(ATP)
5kax,2.00,2016,6.11,(RHQ)
6b4d,1.20,2018,6.11,(53X)
6hq7,2.46,2019,6.11,(PCG)
1nc1,2.00,2003,6.12,(MTH)
1x8r,1.50,2005,6.12,(SC1)
2fgv,1.50,2006,6.12,(5-mer)
2p2a,2.26,2007,6.12,(MP9)
2wvt,1.80,2010,6.12,(FHN)
3qfy,2.30,2011,6.12,(IFM-SO4)
4ayp,0.85,2013,6.12,(SMD)
4hp0,1.19,2013,6.12,(4-mer)
4k4j,2.00,2013,6.12,(1O8)
6fmj,2.45,2018,6.12,(DV5)
6ugn,1.41,2019,6.12,(Q77)
6j72,2.20,2019,6.13,(GTP)
2c97,2.00,2006,6.14,(JCL)
2fqt,1.79,2006,6.14,(H1D)
2zym,1.80,2009,6.14,(ACX)
4zx1,1.50,2015,6.14,(5L3)
5nk9,1.59,2017,6.14,(912)
5u49,2.22,2017,6.14,(S2L)
1u0g,1.70,2004,6.15,(E4P)
1zs0,1.56,2006,6.15,(EIN)
2r75,1.40,2008,6.15,(01G)
3arw,1.50,2011,6.15,(CTI)
4f6u,2.10,2013,6.15,(0SR)
5dit,2.25,2015,6.15,(5B8)
5ftg,1.45,2016,6.15,(NBR)
5wxh,1.30,2017,6.15,(7-mer)
6eq3,1.80,2018,6.15,(BU5)
6g98,2.47,2018,6.15,(ER5)
6guk,1.30,2018,6.15,(FC8)
6mu3,2.33,2018,6.15,(4-mer)
1ppc,1.80,1994,6.16,(MID)
2i4j,2.10,2007,6.16,(DRJ)
4o04,1.82,2014,6.16,(2Q8)
5nwi,2.35,2017,6.16,(5-mer)
6ugp,1.31,2019,6.16,(Q7A)
1a9q,2.00,1998,6.17,(HPA)
1d6v,2.00,2000,6.17,(HOP)
1k1o,2.00,2001,6.17,(IGN)
1ndy,2.00,2003,6.17,(FR3)
1yc1,1.70,2005,6.17,(4BC)
3bkl,2.18,2008,6.17,(KAW)
3hk1,1.70,2009,6.17,(B64)
4aq4,1.80,2012,6.17,(G3P)
4b9k,2.00,2012,6.17,(TG0)
4fht,2.15,2013,6.17,(DHB)
4pfu,2.05,2014,6.17,(MAB)
5fnt,1.79,2016,6.17,(0PL)
6r8l,1.64,2019,6.17,(JUZ)
1xhy,1.85,2005,6.18,(KAI)
3c8a,1.52,2008,6.18,(5-mer)
3w9r,1.90,2014,6.18,(A8S)
4q6e,1.12,2014,6.18,(KR5)
1iy7,2.00,2003,6.19,(CXA)
1tq4,1.95,2004,6.19,(GDP)
1v2k,2.00,2004,6.19,(ZEN)
2bt9,0.94,2005,6.19,(MFU)
2qbu,2.10,2008,6.19,(SAH)
3u5l,1.39,2011,6.19,(08K)
4wrb,1.81,2015,6.19,(3TW)
5u0z,2.29,2017,6.19,(7PM)
1owe,1.60,2003,6.20,(675)
1sqt,1.90,2004,6.20,(UI3)
2aj8,2.11,2006,6.20,(SC3)
4ad2,2.10,2012,6.20,(GLC-IFM)
4k6i,2.10,2013,6.20,(9RA)
4ufi,2.40,2015,6.20,(AGK)
1b3h,2.00,1998,6.21,(3-mer)
3s8n,1.71,2011,6.21,(5-mer)
3sug,1.80,2012,6.21,(SUE)
4cg9,1.83,2014,6.21,(GQG)
4mul,1.75,2014,6.21,(2DW)
4ymb,1.93,2015,6.21,(4E7)
5en3,1.25,2016,6.21,(7LU)
5vyy,1.79,2018,6.21,(9QY)
1l8g,2.50,2002,6.22,(DBD)
2xda,1.85,2010,6.22,(JPS)
3acl,2.35,2010,6.22,(3F1)
3ip5,1.35,2010,6.22,(ALA)
3lpp,2.15,2010,6.22,(KTL)
3p2e,1.68,2010,6.22,(SAH)
3pd9,2.10,2010,6.22,(HA5)
4bqg,1.90,2013,6.22,(50Q)
4m0e,2.00,2013,6.22,(1YL)
4mdn,1.91,2013,6.22,(Y30)
4nja,2.20,2014,6.22,(2M9)
6eiz,1.85,2018,6.22,(FOH)
6gjn,1.70,2018,6.22,(F0Q)
6hgi,1.52,2019,6.22,(C0R)
1m7d,2.30,2003,6.23,(3-mer)
4w9j,2.20,2014,6.23,(3JH)
5wa8,1.30,2017,6.23,(9ZA)
5y12,1.75,2018,6.23,(8JX)
6qr4,1.52,2019,6.23,(JD8)
3vh9,1.29,2012,6.24,(HQY)
5lwd,1.23,2016,6.24,(79E)
6eir,2.40,2018,6.24,(B6H)
6hh3,1.82,2018,6.24,(A1R)
6i61,1.65,2019,6.24,(H3W)
1gnm,2.30,1996,6.25,(U0E)
2o4z,2.10,2007,6.25,(HSW)
2zdn,1.98,2008,6.25,(49U)
3rf4,1.80,2011,6.25,(FUN)
4bcp,2.26,2013,6.25,(T3C)
1wcq,2.10,2005,6.26,(DAN)
3bgz,2.40,2007,6.26,(VX3)
3su4,2.25,2012,6.26,(SU3)
4r4t,1.28,2014,6.26,(3J0)
4ua8,1.54,2014,6.26,(MLR)
4wiv,1.56,2014,6.26,(3P2)
5oku,2.07,2017,6.26,(0L1)
6f1n,2.09,2018,6.26,(C8W)
1pbq,1.90,2003,6.27,(DK1)
2j94,2.10,2007,6.27,(G15)
3bfu,1.95,2008,6.27,(R2P)
4f0c,1.90,2013,6.27,(GDS)
4r4i,1.40,2014,6.27,(3HV)
6ugr,1.31,2019,6.27,(Q71)
1afl,1.70,1998,6.28,(ATR)
1atl,1.80,1995,6.28,(SLE-TYR)
1w3l,1.04,2004,6.28,(3-mer)
2aog,1.10,2006,6.28,(2NC)
4djw,1.90,2012,6.28,(0KP)
4q99,1.50,2015,6.28,(HT4)
4rd6,1.94,2015,6.28,(GDP)
4zb6,1.80,2015,6.28,(GDS)
5ia1,2.04,2016,6.28,(ZZL)
5ix0,1.72,2016,6.28,(6EZ)
5lz7,2.10,2016,6.28,(7BK)
5nz4,1.36,2018,6.28,(G39)
2xyt,2.05,2011,6.29,(TC9)
3f48,1.90,2008,6.29,(ALA)
3h8b,1.80,2009,6.29,(NSY)
3v2q,2.20,2013,6.29,(PLM)
4d8z,2.20,2012,6.29,(0J2)
4lj5,2.40,2014,6.29,(ADP)
4n7u,1.46,2014,6.29,(2JA)
4r06,2.22,2016,6.29,(3E7)
5za8,1.90,2018,6.29,(27I)
6elo,1.80,2018,6.29,(BAW)
6o5a,1.67,2019,6.29,(2NC)
1d4p,2.07,1999,6.30,(BPP)
1lag,2.06,1995,6.30,(HIS)
1wdn,1.94,1998,6.30,(GLN)
1wm1,2.10,2004,6.30,(PTB)
2oi2,2.50,2007,6.30,(DP6)
2q89,2.30,2008,6.30,(6CS)
2vrj,1.90,2008,6.30,(NCW)
3ebl,1.90,2008,6.30,(GA4)
3k5v,1.74,2010,6.30,(STJ)
3t70,1.80,2012,6.30,(DU4)
4e1k,2.00,2013,6.30,(0N5)
4eor,2.20,2013,6.30,(4SP)
4etz,2.05,2012,6.30,(C2E)
4oag,2.00,2014,6.30,(ADP)
4pow,1.55,2014,6.30,(OP1)
4q08,1.07,2015,6.30,(V90)
5d25,1.70,2016,6.30,(56M)
5dhu,2.33,2016,6.30,(5A8)
5htl,1.37,2016,6.30,(C2E)
6qgg,1.50,2019,6.30,(J1H)
1nja,2.50,1996,6.31,(DCM)
2bal,2.10,2005,6.31,(PQA)
2pvu,1.79,2008,6.31,(LYS)
3q44,1.80,2011,6.31,(D50)
3u93,1.88,2012,6.31,(GLU)
3uew,2.00,2011,6.31,(PLM)
4cpy,1.80,2014,6.31,(G39)
4d1j,1.80,2014,6.31,(DGJ)
4der,1.90,2012,6.31,(AGI)
5gmh,2.20,2016,6.31,(RX8)
5wij,2.04,2018,6.31,(AQG)
1w3j,2.00,2004,6.32,(OXZ)
2wnc,2.20,2009,6.32,(TKT)
2zb1,2.50,2008,6.32,(GK4)
3ebh,1.65,2009,6.32,(BES)
3w9k,1.80,2013,6.32,(MYR)
5ekm,1.33,2016,6.32,(TG5)
5meh,0.95,2016,6.32,(DMJ)
6pvw,1.60,2019,6.32,(OZV)
6rot,1.34,2019,6.32,(KDQ)
6upj,2.34,1997,6.32,(NIU)
1ex8,1.85,2001,6.33,(A4P)
2qbr,2.30,2008,6.33,(910)
4nbl,1.76,2014,6.33,(2J6)
4zvi,2.20,2015,6.33,(4S4)
5mrb,2.20,2017,6.33,(C5N)
5nk7,1.89,2017,6.33,(8ZZ)
5u4d,1.55,2017,6.33,(XLO)
1bdq,2.50,1998,6.34,(IM1)
1w9v,2.00,2005,6.34,(5-mer)
1xq0,1.76,2005,6.34,(4TR)
3cj5,1.92,2008,6.34,(SX6)
3zk6,2.48,2013,6.34,(H1I)
4muf,2.50,2014,6.34,(2DJ)
4z0k,1.41,2015,6.34,(4LN)
5kbe,2.50,2016,6.34,(IPH)
5m04,1.85,2017,6.34,(GDP)
6d5j,1.75,2018,6.34,(FV4)
1cbx,2.00,1994,6.35,(BZS)
1gjc,1.73,2002,6.35,(130)
2j7f,2.28,2006,6.35,(GI3)
2p09,1.65,2007,6.35,(ATP)
